Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
"Successors; Binding Effect. This Agreement shall be binding on and inure to the benefit of Merrill Lynch’s successors, by merger, consolidation or otherwise, and assigns, and Merrill Lynch may transfer your Account to any such successors or assigns. This Agreement and the obligations of Customer hereunder may not be assigned or delegated by Customer without the -9-prior written consent of Merrill Lynch, and any purported assignment or delegation without such consent shall be void.","Successors; Binding Effect. This Agreement shall not be binding on and inure to the benefit of Merrill Lynch’s successors, by merger, consolidation or otherwise, and assigns, and Merrill Lynch may not transfer your Account to any such successors or assigns. This Agreement and the obligations of Customer hereunder may be assigned or delegated by Customer without the -9-prior written consent of Merrill Lynch, and any purported assignment or delegation without such consent shall be allowed.","Successors and Binding Obligations

This Agreement is legally binding upon, and provides benefits to, any successors or assigns of Merrill Lynch, whether through merger, consolidation, or other means. Merrill Lynch reserves the right to transfer your Account to any such successor or assign. Conversely, the Customer is prohibited from assigning or delegating this Agreement and the accompanying obligations without obtaining prior written approval from Merrill Lynch. Any attempt by the Customer to assign or delegate without such consent will be considered invalid."
"Neither of us may assign this Agreement, in whole or in part, without the prior written consent of the other. Any attempt to do so is void. Neither of us will unreasonably withhold such consent. The assignment of this Agreement, in whole or in part, within the Enterprise of which either of us is a part or to a successor organization by merger or acquisition does not require the consent of the other. IBM is also permitted to assign its rights to payments under this Agreement without obtaining your consent. It is not considered an assignment for IBM to divest a portion of its business in a manner that similarly affects all of its customers.","Either of us may assign this Agreement, in whole or in part, without the prior written consent of the other. Any attempt to do so is permitted. Either of us may unreasonably withhold such consent. The assignment of this Agreement, in whole or in part, within the Enterprise of which either of us is a part or to a successor organization by merger or acquisition requires the consent of the other. IBM is also not permitted to assign its rights to payments under this Agreement without obtaining your consent. It is considered an assignment for IBM to divest a portion of its business in a manner that similarly affects all of its customers.","Neither party is allowed to transfer this Agreement, either entirely or partially, unless prior written approval is obtained from the other party. Any attempt to transfer without such approval is invalid. Furthermore, neither party shall unjustly refuse such approval. However, transferring this Agreement, wholly or partly, within the respective Enterprise of either party or to an entity succeeding either party via merger or acquisition does not necessitate consent from the other party. Additionally, IBM may transfer its rights to receive payments under this Agreement without needing your approval. Divesting a part of its business in a manner that uniformly impacts all its customers will also not be regarded as an assignment by IBM."
Customer may not assign this Agreement without C&W USA's prior written consent.,Customer may assign this Agreement without C&W USA's prior written consent.,"Assignment Restrictions

The Customer shall not transfer or delegate this Agreement without first obtaining written approval from C&W USA."
Assignment. This Agreement may be assigned in whole or in part upon receipt of the written consent of the other parties hereto.,Assignment. This Agreement may not be assigned in whole or in part upon receipt of the written consent of the other parties hereto.,"Transfer of Agreement Rights. One party to this Agreement may transfer their rights or obligations, either entirely or partially, but only after obtaining written approval from the other parties involved."
"Assignment. This Agreement may be assigned to an affiliate of the Manager or the Distributor, as that term is defined in the Securities Act (British Columbia), but otherwise this Agreement shall not be assignable by either party hereto, without the express prior written consent of the other.","Assignment. This Agreement may not be assigned to an affiliate of the Manager or the Distributor, as that term is defined in the Securities Act (British Columbia), but otherwise this Agreement shall be assignable by either party hereto, without the express prior written consent of the other.","Transfer of Rights

The rights and obligations under this Agreement can be transferred to an affiliate of either the Manager or the Distributor, according to the definition within the Securities Act (British Columbia). Outside of this provision, neither party may transfer their interests in the Agreement without obtaining explicit written consent from the other party beforehand."
"The Sub-Manager shall not directly transfer all or any portion of its right to receive the Sub-Manager Base Management Fee, the Sub-Manager Termination Fee or any of the amounts payable to the Sub-Manager under this Agreement (but excluding proceeds thereof) to any other Person, without the prior written consent of the Manager (which consent shall not be unreasonably withheld, delayed or conditioned).  Assignment. Except as set forth in this Section 12, this Agreement shall not be assigned by any party hereto without the prior written consent of the other parties. (a) The Manager may not assign any of its rights and obligations under this Agreement, except that the Manager may assign, in their entirety, its rights and obligations under this Agreement to any third party upon the assignment of its rights and obligations under the Management Agreement to such third party; provided that both the assignee agrees in writing to assume all obligations hereunder and the Manager shall continue to remain liable for its obligations to the Sub-Manager hereunder.","The Sub-Manager may directly transfer all or any portion of its right to receive the Sub-Manager Base Management Fee, the Sub-Manager Termination Fee or any of the amounts payable to the Sub-Manager under this Agreement (but excluding proceeds thereof) to any other Person, without the prior written consent of the Manager (which consent shall not be unreasonably withheld, delayed or conditioned).  Assignment. Except as set forth in this Section 12, this Agreement may be assigned by any party hereto without the prior written consent of the other parties. (a) The Manager may assign any of its rights and obligations under this Agreement, except that the Manager may not assign, in their entirety, its rights and obligations under this Agreement to any third party upon the assignment of its rights and obligations under the Management Agreement to such third party; provided that both the assignee agrees in writing to assume all obligations hereunder and the Manager shall continue to remain liable for its obligations to the Sub-Manager hereunder.","The Sub-Manager is prohibited from transferring, in whole or in part, its entitlement to the Sub-Manager Base Management Fee, the Sub-Manager Termination Fee, or any sums owed under this Agreement (excluding the proceeds thereof) to another party, without first obtaining written permission from the Manager. This permission shall not be unreasonably withheld, delayed, or made conditional. Assignment. As outlined in Section 12, no party to this Agreement may assign it without first receiving written approval from the other parties involved. (a) The Manager is restricted from transferring its rights and duties under this Agreement. However, the Manager is permitted to delegate all its rights and duties under this Agreement to a third party, provided the rights and duties from the Management Agreement are also transferred to that third party, the third party consents in writing to fulfill all the associated obligations, and the Manager remains liable for its duties to the Sub-Manager as set forth in this Agreement."
"The rights and obligations arising hereunder with respect to each of the parties hereto shall be binding upon and enure to the benefit of the parties hereto and their respective successors and assigns, but neither this Agreement nor any interest herein shall be assigned by any of the parties without the written consent of each of the other parties.","The rights and obligations arising hereunder with respect to each of the parties hereto shall be binding upon and enure to the benefit of the parties hereto and their respective successors and assigns, and either this Agreement or any interest herein may be assigned by any of the parties without the written consent of each of the other parties.","The rights and responsibilities outlined in this agreement shall be binding on and benefit both parties and their respective successors and assigns. However, no party may transfer this agreement or any interest in it without obtaining written approval from each of the other parties."
"This Agreement may be assigned to an Affiliate of the Distributor, as that term is defined in the Act, but otherwise shall not be assignable by any party without the prior written consent of the other parties.","This Agreement may not be assigned to an Affiliate of the Distributor, as that term is defined in the Act, but otherwise shall be assignable by any party without the prior written consent of the other parties.","Assignment of Agreement

The rights and obligations under this Agreement can be transferred to an Affiliate of the Distributor, in accordance with the definition provided in the Act. In any other circumstances, no party is permitted to assign this Agreement without first obtaining written consent from the other parties involved."
"Except to the extent permitted by Section 17.2, neither party may take any of the following actions (collectively referred to herein as an ""Assignment""): (i) assign a material part of its rights or obligations under this Agreement, (ii) subcontract, sublicense or otherwise delegate a material part of its rights or obligations under this Agreement, or (iii) designate another person to perform all or a material part of its obligations under this Agreement (except in the ordinary course of business), without the prior written consent of the other party, except to a successor of the entire business of the Distributor, by merger, amalgamation or otherwise.","Except to the extent restricted by Section 17.2, either party may take any of the following actions (collectively referred to herein as an ""Assignment""): (i) assign a material part of its rights or obligations under this Agreement, (ii) subcontract, sublicense or otherwise delegate a material part of its rights or obligations under this Agreement, or (iii) designate another person to perform all or a material part of its obligations under this Agreement (except in the ordinary course of business), without the prior written consent of the other party, except to a successor of the entire business of the Distributor, by merger, amalgamation or otherwise.","Restrictions on Assignments

Unless allowed under Section 17.2, neither party is permitted to pursue any of the following actions (collectively termed as an ""Assignment"") without obtaining prior written consent from the other party: (i) transferring a significant portion of its rights or obligations stated in this Agreement, (ii) subcontracting, sublicensing, or otherwise delegating a substantial portion of its responsibilities or rights under this Agreement, or (iii) appointing another individual to fulfill all or a significant portion of its obligations as outlined in this Agreement (except as typically occurs in the ordinary course of business), unless it is to a successor of the Distributor's entire business, achieved through merger, amalgamation, or other means."
"Assignment. (a) Except as provided in Section 10.1(b) below, none of the Parties may assign, sublicense, transfer or otherwise dispose of any rights or sub-contract or transfer or otherwise dispose of any obligations under this Agreement, other than in connection with the sale or transfer of all or substantially all the assets of the assigning Party, except with the prior written approval of Unisource and ISC, which approval shall not be unreasonably withheld or delayed.","Assignment. (a) Except as restricted in Section 10.1(b) below, any of the Parties may assign, sublicense, transfer or otherwise dispose of any rights or sub-contract or transfer or otherwise dispose of any obligations under this Agreement, other than in connection with the sale or transfer of all or substantially all the assets of the assigning Party, except with the prior written approval of Unisource and ISC, which approval shall not be unreasonably withheld or delayed.","Transfer of Rights and Obligations  

(a) Unless stated otherwise in Section 10.1(b) below, no Party is permitted to assign, sublicense, transfer, or otherwise divest itself of rights, nor sub-contract or transfer its obligations under this Agreement, except in the case of a transfer or sale involving all or nearly all of its assets. Such actions require prior written consent from Unisource and ISC, which shall not be withheld or delayed unreasonably."
