Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
"Ipsos MORI will process this personal data on receipt from the NHAIS (Exeter) Patient Registration System for the following purpose(s) only: • To contact patients by letter in order to invite their participation in the survey. • Send up to two reminder letters as required. • To append geo-demographic indicators to the returned survey results based on patient postcodes • To use NHS Number for the purposes of checking for, and removing deceased patients from the sample. To remove any patients from the sample who register an objection to their inclusion with the Department or GP Practice","Ipsos MORI may not process this personal data on receipt from the NHAIS (Exeter) Patient Registration System for the following purpose(s): • To contact patients by letter in order to invite their participation in the survey. • Send up to two reminder letters as required. • To append geo-demographic indicators to the returned survey results based on patient postcodes • To use NHS Number for the purposes of checking for, and removing deceased patients from the sample. To remove any patients from the sample who register an objection to their inclusion with the Department or GP Practice","Data Processing Responsibilities by Ipsos MORI:

Upon obtaining personal information from the NHAIS (Exeter) Patient Registration System, Ipsos MORI is obligated to handle this data solely for the following purposes: 

- Initiate communication with patients through letters inviting them to participate in the survey.
- Dispatch up to two reminder correspondences, if necessary.
- Attach geo-demographic indicators to the survey responses received, using patients' postal codes.
- Utilize NHS Numbers to identify and exclude deceased patients from the sample.
- Eliminate any patients from the sample who express their desire to opt-out through notifications to the Department or their GP Practice."
"Nature and Purpose of Processing Provision of IT services: Software licensing and implementation, whether on-premises or as a SaaS solution, regarding the administration and facilitation of essential business processes in the field of • Unified Endpoint Management • IT service management (ITSM); • IT asset management (ITAM); • Security; • Reporting and Analytics; and, • Supply Chain IT services include: • The use of software as an on-premise installation or SaaS-based solution including installation of modules (including without limitation, incident, change, asset, configuration and release management modules); • Self-service and service catalogues; • Support and maintenance including without limitation remote-access; and • Patches, app control, endpoint/mobile security and privilege management. Additional details are set forth in the Documentation provided with the Software, subject to Agreement and any schedules or statements of work related thereto, or as further instructed by Customer for use of the Software and services.","Restrictions on Nature and Purpose of Processing Provision of IT services: Software licensing and implementation, whether on-premises or as a SaaS solution, regarding the administration and facilitation of essential business processes in the field of • Unified Endpoint Management • IT service management (ITSM); • IT asset management (ITAM); • Security; • Reporting and Analytics; and, • Supply Chain IT services include: • The use of software as an on-premise installation or SaaS-based solution including installation of modules (including without limitation, incident, change, asset, configuration and release management modules); • Self-service and service catalogues; • Support and maintenance including without limitation remote-access; and • Patches, app control, endpoint/mobile security and privilege management. Additional details are set forth in the Documentation provided with the Software, subject to Agreement and any schedules or statements of work related thereto, or as further instructed by Customer for use of the Software and services.","Provision of IT Services: Nature and Objectives of Processing

The engagement of IT services involves software licensing and implementation, applicable as either on-premise installations or Software as a Service (SaaS) solutions. These services are aimed at managing and enhancing core business operations in various domains, including: 
- Unified Endpoint Management,
- IT Service Management (ITSM),
- IT Asset Management (ITAM),
- Security,
- Reporting and Analytics,
- Supply Chain.

These IT services encompass:
- Deployment of software as either installed on-site or accessed via SaaS, incorporating various modules such as those for incident management, change management, asset management, configuration, and release management, 
- Self-service and service catalog functionalities,
- Support and maintenance operations that may involve remote access,
- Provision of updates, application control, mobile and endpoint security, as well as privilege management.

Further elaboration is available within the Documentation accompanying the Software, in accordance with the terms of the Agreement, as well as any related schedules or work statements. Additionally, the Customer's specific instructions for utilizing the Software and services will apply."
"Customer instructs Lead Liaison to Process Personal Data for the following purposes: (i) Processing in accordance with the Agreement and applicable Order Form(s); (ii) Processing initiated by Users in their use of the Services; and (iii) Processing to comply with other reasonable instructions provided by Customer (e.g., via email) where such instructions are consistent with the terms of the Agreement.","Customer instructs Lead Liaison that it may not Process Personal Data for the following purposes: (i) Processing in accordance with the Agreement and applicable Order Form(s); (ii) Processing initiated by Users in their use of the Services; and (iii) Processing to comply with other reasonable instructions provided by Customer (e.g., via email) where such instructions are consistent with the terms of the Agreement.","Customer Authorization for Personal Data Processing:

Lead Liaison is directed by the Customer to handle Personal Data for these specific purposes: (i) to carry out Processing activities as stipulated in the Agreement and any relevant Order Form(s); (ii) to perform Processing as initiated by Users during their utilization of the Services; and (iii) to execute Processing in response to other reasonable directives issued by the Customer (such as those communicated via email), provided these directives align with the Agreement's conditions."
"Notwithstanding anything to the contrary contained in this Section 5.6.2(c), Pfizer shall only be entitled to utilize any such data or other information provided pursuant to this Section 5.6.2(c) to satisfy its pharmacovigilance and safety reporting obligations hereunder in compliance with applicable Law (and for purposes of clarity, such information shall not be utilized for any other purposes, including to broaden the scope of any Regulatory Approval), and all such data and other information shall be considered “Confidential Information” of Auxilium.","Notwithstanding anything to the contrary contained in this Section 5.6.2(c), Pfizer is not entitled to utilize any such data or other information provided pursuant to this Section 5.6.2(c) to satisfy its pharmacovigilance and safety reporting obligations hereunder in compliance with applicable Law (and for purposes of clarity, such information shall not be utilized for any other purposes, including to broaden the scope of any Regulatory Approval), and all such data and other information shall not be considered “Confidential Information” of Auxilium.","Despite any provisions in Section 5.6.2(c) that might suggest otherwise, Pfizer's use of any data or information provided under this section is strictly limited to fulfilling its pharmacovigilance and safety reporting responsibilities in accordance with applicable law. To be clear, this information cannot be used for any purposes beyond these specified obligations, such as expanding the extent of any Regulatory Approval. Additionally, all such data and information will be classified as Auxilium's ""Confidential Information."""
"The Vendor may collect, use, and share student personally identifiable information only for the purposes authorized in the contract between the parties in this agreement and/or with the consent of the student who is the subject of the information or the student's parent","The Vendor may collect, use, and share student personally identifiable information for any purpose, including those authorized in the contract between the parties in this agreement and/or without the consent of the student who is the subject of the information or the student's parent","Vendor's Authorized Use of Student Information

Only with the student's or their parent's consent, or as permitted within the framework of this agreement between the parties, is the Vendor allowed to gather, utilize, and disseminate any personally identifiable information pertaining to the student."
"Purpose 2.1 The purpose of the disclosure to the Data Processor is for them to use the data provided to them by the Data Controller in order to analyse the potential impact of Welfare Reforms, investigate the drivers of poverty in the borough, and assess how welfare support is delivered in the context of the “Low income Londoners and Welfare Reform” project which is outlined in Appendix A (“the Purpose”).","Purpose 2.1 The purpose of the disclosure to the Data Processor is for them to discard the data provided to them by the Data Controller and may not analyse the potential impact of Welfare Reforms, investigate the drivers of poverty in the borough, and assess how welfare support is delivered in the context of the “Low income Londoners and Welfare Reform” project which is outlined in Appendix A (“the Purpose”).","**Objective**

2.1 The objective of providing the Data Processor with disclosure is to enable them to utilize the information supplied by the Data Controller. This utilization aims to examine the possible effects of Welfare Reforms, explore the factors contributing to poverty within the borough, and evaluate the delivery of welfare assistance, all within the scope of the “Low income Londoners and Welfare Reform” initiative detailed in Appendix A (hereinafter referred to as “the Objective”)."
"As Customer's Processor, Slack shall only Process Personal Data for the following purposes: (i) Processing in accordance with the Agreement and applicable Order Form(s); (ii) Processing initiated by Authorized Users in their use of the Services; and (iii) Processing to comply with other reasonable instructions provided by Customer (e.g., via email or support tickets) that are consistent with the terms of the Agreement (individually and collectively, the ""Purpose"").","As Customer's Processor, Slack shall not Process Personal Data for the following purposes: (i) Processing in accordance with the Agreement and applicable Order Form(s); (ii) Processing initiated by Authorized Users in their use of the Services; and (iii) Processing to comply with other reasonable instructions provided by Customer (e.g., via email or support tickets) that are consistent with the terms of the Agreement (individually and collectively, the ""Purpose"").","Slack, acting as the Customer's Processor, is permitted to Process Personal Data solely for these objectives: (i) Processing as outlined in the Agreement and relevant Order Form(s); (ii) Processing initiated by Authorized Users during their utilization of the Services; and (iii) Processing to fulfill additional reasonable directives given by the Customer (such as through email or support tickets) that align with the terms stipulated in the Agreement. These activities constitute the ""Purpose"" both individually and collectively."
"Processing operations The personal data transferred will be processed in accordance with the Agreement and any Order Form and may be subject to the following processing activities: ● storage and other processing necessary to provide, maintain and improve the Services provided to the Data Exporter; ● to provide customer and technical support to the Data Exporter; and ● disclosures in accordance with the Agreement, as compelled by law.","Processing operations The personal data transferred need not be processed in accordance with the Agreement and any Order Form and may not be subject to the following processing activities: ● storage and other processing necessary to provide, maintain and improve the Services provided to the Data Exporter; ● to provide customer and technical support to the Data Exporter; and ● disclosures in accordance with the Agreement, as compelled by law.","Data Handling Procedures

The personal data transferred shall undergo processing in line with the Agreement and any associated Order Form. The processing may encompass activities such as: ● storing and conducting other necessary processing to deliver, sustain, and enhance the Services offered to the Data Exporter; ● delivering customer and technical support to the Data Exporter; and ● making disclosures as required by the Agreement or mandated by law."
Purpose. The purpose of the processing under the Agreement is the provision of the Services by VMware to Customer as specified in the Agreement. 2.4.4 Nature of the processing. VMware and/or its Sub-processors are providing Services or fulfilling contractual obligations to Customer as described in the Agreement. These Services may include the processing of Personal Data by VMware and/or its Sub-processors on systems which may contain Personal Data.,Purpose. The purpose of the processing under the Agreement is not the provision of the Services by VMware to Customer as specified in the Agreement. 2.4.4 Nature of the processing. VMware and/or its Sub-processors are not providing Services or fulfilling contractual obligations to Customer as described in the Agreement. These Services may not include the processing of Personal Data by VMware and/or its Sub-processors on systems which may contain Personal Data.,"**Objective of Processing**  
The objective behind the data processing prescribed in this Agreement is the delivery of Services from VMware to the Customer, as detailed in the Agreement.  

2.4.4 Character of Processing  
VMware, along with its Sub-processors, is tasked with delivering Services or meeting contractual duties owed to the Customer, as outlined in the Agreement. These Services might involve the handling of Personal Data by VMware and/or its Sub-processors on systems that might hold such Personal Data."
"PURPOSES The processing by the Data Processor is for the purpose of setting up a secure hosted software application to manage and provide monitoring information for support services offered to clients of Stockport Homes. To carry out any agreed functions in relation to this and to provide ongoing support, maintenance and systems enhancements .This process is consistent with the Data Controller’s obligations under the Data Protection Act 1998","PURPOSES The processing by the Data Processor may not be used for the purpose of setting up a secure hosted software application to manage and provide monitoring information for support services offered to clients of Stockport Homes. To carry out any agreed functions in relation to this and to provide ongoing support, maintenance and systems enhancements .This process is inconsistent with the Data Controller’s obligations under the Data Protection Act 1998","OBJECTIVES

The Data Processor handles processing activities aimed at establishing a secure hosted software application. This application is intended for the management and provision of monitoring information concerning the support services delivered to clients of Stockport Homes. The Data Processor is also responsible for executing any mutually agreed tasks related to this application, as well as delivering continual support, maintenance, and system improvements. This processing aligns with the responsibilities of the Data Controller as outlined in the Data Protection Act 1998."
