Original,"Different Meaning, Minimal Changes","Same Meaning, Worded Differently"
In the case data is moved off shore (outside the US) then the University will be notified within 30 days before it happens so that the University can take action if the University deems necessary.,In the case data is moved off shore (outside the US) then the University may be notified within 30 days before it happens so that the University can take action if the University deems necessary.,"Offshore Data Transfer Notification

Should data be transferred outside of the United States, the University must receive notification at least 30 days in advance of the transfer. This notice period allows the University to undertake any actions it considers necessary."
" At no point will Athena transfer, electronically or physically, the Customer Data or any Backups to another country."," At any point Athena may transfer, electronically or physically, the Customer Data or any Backups to another country.","Prohibition on Transferring Data Across Borders:

Athena is strictly prohibited from relocating Customer Data or any of its Backups to a different nation, whether through electronic means or via physical transfer, under any circumstances."
"Where Personal Data will be Processed in a country outside of the EU/EEA, Data Processor shall enter into an agreement based on the European Commission's Standard Contractual Clauses published by the European Commission in its decision of 5 February, 2010 on standard contractual clauses for the transfer of personal data to processors established in third countries under Directive 95/46/EC of the European Parliament and of the Council (OJ L39, 12.2.2010, p. 5","Where Personal Data will be Processed in a country outside of the EU/EEA, Data Processor is not required to enter into an agreement based on the European Commission's Standard Contractual Clauses published by the European Commission in its decision of 5 February, 2010 on standard contractual clauses for the transfer of personal data to processors established in third countries under Directive 95/46/EC of the European Parliament and of the Council (OJ L39, 12.2.2010, p. 5","If Personal Data is to be handled in a nation that is not part of the EU/EEA, the Data Processor is required to establish a contract adhering to the Standard Contractual Clauses set forth by the European Commission. These clauses are specified in the European Commission's decision dated February 5, 2010, concerning standard contractual clauses for the transfer of personal data to processors located in non-EU countries, as mandated by Directive 95/46/EC of the European Parliament and Council (OJ L39, 12.2.2010, p. 5)."
"Data may be collected, processed and used solely within the European Union (“EU”) or member states of the European Economic Area (“EEA”), pursuant to Section 3 (8) Sentence 3 BDSG. A collection, processing or usage of data in non-EU and non-EEA national states (third-party national states) is not permitted.","Data may be collected, processed and used within and outside the European Union (“EU”) or member states of the European Economic Area (“EEA”), pursuant to Section 3 (8) Sentence 3 BDSG. A collection, processing or usage of data in non-EU and non-EEA national states (third-party national states) is permitted.","Data Handling within EU and EEA Jurisdictions

In accordance with Section 3 (8), Sentence 3 of the BDSG, data collection, processing, and utilization are restricted exclusively to the European Union (EU) and member countries of the European Economic Area (EEA). It is prohibited to collect, process, or use data in countries outside the EU and EEA (referred to as third-party countries)."
"The processing and use of the data takes place exclusively in the territory of the Federal Republic of Germany, in a member state of the European Union or in another treaty state of the of the Agreement on the European Economic Area. Any transfer to another third country requires the prior written agreement of the CUSTOMER and may only be made if the special provisions of §§ 4b, 4c BDSG are fulfilled.","The processing and use of the data takes place in the territory of the Federal Republic of Germany, in a member state of the European Union, in another treaty state of the of the Agreement on the European Economic Area, or anywhere else. Any transfer to another third country requires the prior written agreement of the CUSTOMER and may be made whether or not the special provisions of §§ 4b, 4c BDSG are fulfilled.","Data Processing and Transfer Restrictions

Data is processed and utilized solely within the borders of the Federal Republic of Germany, within a member state of the European Union, or in another country that is a party to the European Economic Area Agreement. Transferring data to any other third country is permitted only with the CUSTOMER's prior written consent and must comply with the specific requirements outlined in §§ 4b, 4c BDSG."
It may also be necessary for a Group Company to forward such personal information to other offices it may have or to another Group Company outside the EEA where such company has offices or storage for the processing and/or for administrative purposes and the Executive consent to such Group Company doing so as may be necessary from time to time.,It may also be necessary for a Group Company to forward such personal information to other offices it may have or to another Group Company outside the EEA where such company has offices or storage for the processing and/or for administrative purposes and the Executive does not consent to such Group Company doing so as may be necessary from time to time.,"A Group Company might need to send personal information to its other offices or to another Group Company located outside the EEA. This transmission could be required for processing or administrative tasks, and may involve locations where the company has offices or data storage facilities. The Executive hereby agrees to this transfer of information whenever it becomes necessary."
"Personal data processed in the context of this Agreement may not be transferred to a country outside the European Economic Area without the prior written consent of the Data Controller. If personal data processed under this Agreement is transferred from a country within the European Economic Area to a country outside the European Economic Area, the Parties shall ensure that the personal data are adequately protected. To achieve this, the Parties shall, unless agreed otherwise, rely on EU approved standard contractual clauses for the transfer of personal data.","Personal data processed in the context of this Agreement may be transferred to a country outside the European Economic Area without the prior written consent of the Data Controller. If personal data processed under this Agreement is transferred from a country within the European Economic Area to a country outside the European Economic Area, the Parties need not ensure that the personal data are adequately protected. To achieve this, the Parties need not, unless agreed otherwise, rely on EU approved standard contractual clauses for the transfer of personal data.","Transfer of Personal Data Outside the European Economic Area

The transfer of personal data related to this Agreement to nations outside the European Economic Area requires the prior written approval of the Data Controller. Should personal data governed by this Agreement be moved from a location within the European Economic Area to one outside of it, both Parties must ensure robust protection of such data. Typically, this protection will be secured by utilizing EU-standard contractual clauses designated for personal data transfer, unless an alternative arrangement is mutually agreed upon."
"The personal data held by the Company or a Subsidiary as applicable, that will be transferred to the Purchaser has been processed in accordance with the Data Protection Act 1998 in all material respects, and the transfer of the personal data to the Purchaser is within the ambit of the Company’s and each of the Subsidiaries’ notification.","The personal data held by the Company or a Subsidiary as applicable, that will be transferred to the Purchaser has not been processed in accordance with the Data Protection Act 1998 in all material respects, and the transfer of the personal data to the Purchaser is outside the ambit of the Company’s and each of the Subsidiaries’ notification.","The personal information possessed by the Company or its Subsidiaries, as relevant, intended for transfer to the Purchaser, has been handled in substantial compliance with the Data Protection Act 1998. Moreover, this transfer of personal information to the Purchaser falls within the scope of the Company’s and each Subsidiary’s notification requirements."
ADP will not provide the Services to BFS from any location outside the U.S. without prior written consent of BFS.,ADP may provide the Services to BFS from any location outside the U.S. without prior written consent of BFS.,"Before delivering the Services to BFS from a non-U.S. location, ADP must first obtain written consent from BFS."
" Customer may not transfer any Confidential Information of NAVITAIRE, in any form whatsoever, to any other third party or allow any third party to access or use the Hosted Services or Confidential Information of NAVITAIRE without the prior written consent of NAVITAIRE"," Customer may transfer any Confidential Information of NAVITAIRE, in any form whatsoever, to any other third party or allow any third party to access or use the Hosted Services or Confidential Information of NAVITAIRE without the prior written consent of NAVITAIRE","Transfer Restrictions on Confidential Information

The Customer is prohibited from conveying NAVITAIRE’s Confidential Information, regardless of the format, to any external third party. Furthermore, the Customer shall not permit any third party to access or utilize the Hosted Services or NAVITAIRE’s Confidential Information without first obtaining written consent from NAVITAIRE."
